plant_no,plant_description,short_description,charge_type,clock_unit,has_clock,ticket_1_required,ticket_2_required,category_1,category_2,category_3,category_4,category_5,category_6,is_active
A76,A76 - Trailer Curtain Sider (40' x 8'),Trailer Curtain Sider (40' x 8'),Hour,,,,,,,TRUE,,,,TRUE
A77,A77 - Rock Breaker Epiroc SB102 3 Tonne,Rock Breaker Epiroc SB102 3 Tonne,Hour,,,,,,,,,,,TRUE
A79,A79 - Rock Breaker Epiroc SB152 4 Tonne,Rock Breaker Epiroc SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A80,A80 - Grundowinch KW4000 (2021),Grundowinch KW4000 (2021),Hour,,,,,,,,,TRUE,,TRUE
A81,"A81 - Water Bowser c/w Power Washer 1,000 Litre","Water Bowser c/w Power Washer 1,000 Litre",Hour,,,,,,,,,,,TRUE
A82,"A82 - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A83,A83 - Low Loader Trailer Noteboom (2014),Low Loader Trailer Noteboom (2014),Hour,,,,,,,TRUE,,,,TRUE
A84,A84 - Tipping Trailer Schmitz (2016),Tipping Trailer Schmitz (2016),Hour,,,,,,,TRUE,,,,TRUE
A85,"A85 - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A86,"A86 - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A87,A87 - Rock Breaker Epiroc SB152 4 Tonne,Rock Breaker Epiroc SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A88,A88 - Rock Breaker Epiroc SB202 6 Tonne,Rock Breaker Epiroc SB202 6 Tonne,Hour,,,,,,,,,,,TRUE
A89,A89 - Trailer Curtain Sider (45' x 8'),Trailer Curtain Sider (45' x 8'),Hour,,,,,,,TRUE,,,,TRUE
A90,"A90 - Bunded Diesel Tank 3,500 Litre (2021)","Bunded Diesel Tank 3,500 Litre (2021)",Hour,,,,,,,,,,,TRUE
